sku,codice_prodotto,nome_capo,taglia,colore,stock_disponibile,fonte
HEE-AMSTERDA-M-PIO,HEE-006,Amsterdam,M,PIOMBO,3,inventario
HEE-AMSTERDA-L-PIO,HEE-006,Amsterdam,L,PIOMBO,5,inventario
HEE-ARGENTIN-M-NER,HEE-007,Argentina,M,NERO,1,inventario
HEE-ARGENTIN-L-NER,HEE-007,Argentina,L,NERO,1,inventario
HEE-ARGENTIN-XL-NER,HEE-007,Argentina,XL,NERO,1,inventario
HEE-ARGENTIN-M-CRE,HEE-007,Argentina,M,CREMA,0,inventario
HEE-ARGENTIN-L-CRE,HEE-007,Argentina,L,CREMA,0,inventario
HEE-ARGENTIN-XL-CRE,HEE-007,Argentina,XL,CREMA,0,inventario
HEE-ASIA-TU-NER,HEE-008,Asia,TU,NERO,3,inventario
HEE-ASIA-TU-BIA,HEE-008,Asia,TU,BIANCO,3,inventario
HEE-ASIA-TU-MOR,HEE-008,Asia,TU,MORO,2,inventario
HEE-ATLANTA-S-COR,HEE-009,Atlanta,S,CORDA,4,inventario
HEE-ATLANTA-M-COR,HEE-009,Atlanta,M,CORDA,3,inventario
HEE-ATLANTA-L-COR,HEE-009,Atlanta,L,CORDA,3,inventario
HEE-ATLANTA-S-NER,HEE-009,Atlanta,S,NERO,3,inventario
HEE-ATLANTA-M-NER,HEE-009,Atlanta,M,NERO,4,inventario
HEE-ATLANTA-L-NER,HEE-009,Atlanta,L,NERO,2,inventario
HEE-AUSTRALI-S-NER,HEE-010,Australia,S,NERO,2,inventario
HEE-AUSTRALI-M-NER,HEE-010,Australia,M,NERO,1,inventario
HEE-AUSTRALI-L-NER,HEE-010,Australia,L,NERO,1,inventario
HEE-AUSTRALI-S-COR,HEE-010,Australia,S,CORDA,2,inventario
HEE-AUSTRALI-M-COR,HEE-010,Australia,M,CORDA,1,inventario
HEE-AUSTRALI-L-COR,HEE-010,Australia,L,CORDA,1,inventario
HEE-BALTIMOR-S-SAL,HEE-011,Baltimora,S,SALMONE,2,inventario
HEE-BALTIMOR-M-SAL,HEE-011,Baltimora,M,SALMONE,1,inventario
HEE-BALTIMOR-S-BIA,HEE-011,Baltimora,S,BIANCO,0,inventario
HEE-BALTIMOR-M-BIA,HEE-011,Baltimora,M,BIANCO,2,inventario
HEE-BALTIMOR-S-SLV,HEE-011,Baltimora,S,SALVIA,2,inventario
HEE-BALTIMOR-M-SLV,HEE-011,Baltimora,M,SALVIA,2,inventario
HEE-BALTIMOR-S-CAM,HEE-011,Baltimora,S,CAMMELLO,2,inventario
HEE-BALTIMOR-M-CAM,HEE-011,Baltimora,M,CAMMELLO,1,inventario
HEE-BALTIMOR-S-CIO,HEE-011,Baltimora,S,CIOCCOLATO,2,inventario
HEE-BALTIMOR-M-CIO,HEE-011,Baltimora,M,CIOCCOLATO,2,inventario
HEE-BALTIMOR-S-PIO,HEE-011,Baltimora,S,PIOMBO,2,inventario
HEE-BALTIMOR-M-PIO,HEE-011,Baltimora,M,PIOMBO,0,inventario
HEE-BALTIMOR-S-NER,HEE-011,Baltimora,S,NERO,1,inventario
HEE-BALTIMOR-M-NER,HEE-011,Baltimora,M,NERO,1,inventario
HEE-BALTIMOR-S-CRE,HEE-011,Baltimora,S,CREMA,1,inventario
HEE-BALTIMOR-M-CRE,HEE-011,Baltimora,M,CREMA,2,inventario
HEE-BARCELLO-S-CAM,HEE-012,Barcellona,S,CAMMELLO,5,inventario
HEE-BARCELLO-M-CAM,HEE-012,Barcellona,M,CAMMELLO,6,inventario
HEE-BARCELLO-S-NER,HEE-012,Barcellona,S,NERO,5,inventario
HEE-BARCELLO-M-NER,HEE-012,Barcellona,M,NERO,6,inventario
HEE-BARCELLO-S-BIA,HEE-012,Barcellona,S,BIANCO,5,inventario
HEE-BARCELLO-M-BIA,HEE-012,Barcellona,M,BIANCO,5,inventario
HEE-BARCELLO-L-CAM,HEE-012,Barcellona,L,CAMMELLO,0,correzione-2026-09-11
HEE-BARCELLO-L-NER,HEE-012,Barcellona,L,NERO,0,correzione-2026-09-11
HEE-BARCELLO-L-BIA,HEE-012,Barcellona,L,BIANCO,0,correzione-2026-09-11
HEE-BARCELLO-SM-CAM,HEE-012,Barcellona,S/M,CAMMELLO,0,correzione-2026-09-11
HEE-BARCELLO-SM-NER,HEE-012,Barcellona,S/M,NERO,0,correzione-2026-09-11
HEE-BARCELLO-SM-BIA,HEE-012,Barcellona,S/M,BIANCO,0,correzione-2026-09-11
HEE-BARCELLO-LXL-CAM,HEE-012,Barcellona,L/XL,CAMMELLO,0,correzione-2026-09-11
HEE-BARCELLO-LXL-NER,HEE-012,Barcellona,L/XL,NERO,0,correzione-2026-09-11
HEE-BARCELLO-LXL-BIA,HEE-012,Barcellona,L/XL,BIANCO,0,correzione-2026-09-11
HEE-BERNA-TU-NER,HEE-013,Berna,TU,NERO,3,inventario
HEE-BILBAO-S-NER,HEE-014,Bilbao,S,NERO,0,inventario
HEE-BILBAO-M-NER,HEE-014,Bilbao,M,NERO,2,inventario
HEE-BILBAO-S-BIA,HEE-014,Bilbao,S,BIANCO,1,inventario
HEE-BILBAO-M-BIA,HEE-014,Bilbao,M,BIANCO,2,inventario
HEE-BOGOTA-S-NER,HEE-015,Bogotà,S,NERO,0,inventario
HEE-BOGOTA-M-NER,HEE-015,Bogotà,M,NERO,0,inventario
HEE-BOGOTA-L-NER,HEE-015,Bogotà,L,NERO,0,inventario
HEE-BOGOTA-XL-NER,HEE-015,Bogotà,XL,NERO,0,inventario
HEE-BOGOTA-S-CRE,HEE-015,Bogotà,S,CREMA,0,inventario
HEE-BOGOTA-M-CRE,HEE-015,Bogotà,M,CREMA,0,inventario
HEE-BOGOTA-L-CRE,HEE-015,Bogotà,L,CREMA,0,inventario
HEE-BOGOTA-XL-CRE,HEE-015,Bogotà,XL,CREMA,5,inventario
HEE-BOLOGNA-S-CRE,HEE-016,Bologna,S,CREMA,1,inventario
HEE-BOLOGNA-M-CRE,HEE-016,Bologna,M,CREMA,4,inventario
HEE-BOLOGNA-S-NER,HEE-016,Bologna,S,NERO,1,inventario
HEE-BOLOGNA-M-NER,HEE-016,Bologna,M,NERO,0,inventario
HEE-BOLOGNA-S-BIA,HEE-016,Bologna,S,BIANCO,0,inventario
HEE-BOLOGNA-M-BIA,HEE-016,Bologna,M,BIANCO,0,inventario
HEE-BOLOGNA-S-CAM,HEE-016,Bologna,S,CAMMELLO,1,inventario
HEE-BOLOGNA-M-CAM,HEE-016,Bologna,M,CAMMELLO,1,inventario
HEE-BOLOGNA-S-PIO,HEE-016,Bologna,S,PIOMBO,1,inventario
HEE-BOLOGNA-M-PIO,HEE-016,Bologna,M,PIOMBO,0,inventario
HEE-BOLOGNA-S-CIO,HEE-016,Bologna,S,CIOCCOLATO,1,inventario
HEE-BOLOGNA-M-CIO,HEE-016,Bologna,M,CIOCCOLATO,2,inventario
HEE-BOLOGNA-S-SAL,HEE-016,Bologna,S,SALMONE,1,inventario
HEE-BOLOGNA-M-SAL,HEE-016,Bologna,M,SALMONE,2,inventario
HEE-BOLOGNA-S-SLV,HEE-016,Bologna,S,SALVIA,1,inventario
HEE-BOLOGNA-M-SLV,HEE-016,Bologna,M,SALVIA,2,inventario
HEE-BOSTON-M-NER,HEE-017,Boston,M,NERO,0,inventario
HEE-BOSTON-L-NER,HEE-017,Boston,L,NERO,0,inventario
HEE-BOSTON-XL-NER,HEE-017,Boston,XL,NERO,1,inventario
HEE-BOSTON-M-COR,HEE-017,Boston,M,CORDA,1,inventario
HEE-BOSTON-L-COR,HEE-017,Boston,L,CORDA,2,inventario
HEE-BOSTON-XL-COR,HEE-017,Boston,XL,CORDA,2,inventario
HEE-BOSTON-M-CRE,HEE-017,Boston,M,CREMA,0,inventario
HEE-BOSTON-L-CRE,HEE-017,Boston,L,CREMA,2,inventario
HEE-BOSTON-XL-CRE,HEE-017,Boston,XL,CREMA,2,inventario
HEE-BRASILE-XS-NER,HEE-018,Brasile,XS,NERO,0,inventario
HEE-BRASILE-S-NER,HEE-018,Brasile,S,NERO,1,inventario
HEE-BRASILE-M-NER,HEE-018,Brasile,M,NERO,1,inventario
HEE-BRASILE-L-NER,HEE-018,Brasile,L,NERO,2,inventario
HEE-BRASILE-XS-BIA,HEE-018,Brasile,XS,BIANCO,0,inventario
HEE-BRASILE-S-BIA,HEE-018,Brasile,S,BIANCO,1,inventario
HEE-BRASILE-M-BIA,HEE-018,Brasile,M,BIANCO,1,inventario
HEE-BRASILE-L-BIA,HEE-018,Brasile,L,BIANCO,1,inventario
HEE-BRASILE-XS-CRE,HEE-018,Brasile,XS,CREMA,1,inventario
HEE-BRASILE-S-CRE,HEE-018,Brasile,S,CREMA,1,inventario
HEE-BRASILE-M-CRE,HEE-018,Brasile,M,CREMA,0,inventario
HEE-BRASILE-L-CRE,HEE-018,Brasile,L,CREMA,0,inventario
HEE-BRASILE-XS-COR,HEE-018,Brasile,XS,CORDA,1,inventario
HEE-BRASILE-S-COR,HEE-018,Brasile,S,CORDA,1,inventario
HEE-BRASILE-M-COR,HEE-018,Brasile,M,CORDA,1,inventario
HEE-BRASILE-L-COR,HEE-018,Brasile,L,CORDA,0,inventario
HEE-BRASILE-XS-SAL,HEE-018,Brasile,XS,SALMONE,1,inventario
HEE-BRASILE-S-SAL,HEE-018,Brasile,S,SALMONE,1,inventario
HEE-BRASILE-M-SAL,HEE-018,Brasile,M,SALMONE,1,inventario
HEE-BRASILE-L-SAL,HEE-018,Brasile,L,SALMONE,1,inventario
HEE-BRASILE-XS-AZZ,HEE-018,Brasile,XS,AZZURRO,1,inventario
HEE-BRASILE-S-AZZ,HEE-018,Brasile,S,AZZURRO,1,inventario
HEE-BRASILE-M-AZZ,HEE-018,Brasile,M,AZZURRO,1,inventario
HEE-BRASILE-L-AZZ,HEE-018,Brasile,L,AZZURRO,1,inventario
HEE-BUDAPEST-M-NER,HEE-019,Budapest,M,NERO,2,inventario
HEE-BUDAPEST-L-NER,HEE-019,Budapest,L,NERO,2,inventario
HEE-BUDAPEST-XL-NER,HEE-019,Budapest,XL,NERO,3,inventario
HEE-BUDAPEST-M-CRE,HEE-019,Budapest,M,CREMA,1,inventario
HEE-BUDAPEST-L-CRE,HEE-019,Budapest,L,CREMA,2,inventario
HEE-BUDAPEST-XL-CRE,HEE-019,Budapest,XL,CREMA,3,inventario
HEE-BUDAPEST-M-COR,HEE-019,Budapest,M,CORDA,3,inventario
HEE-BUDAPEST-L-COR,HEE-019,Budapest,L,CORDA,1,inventario
HEE-BUDAPEST-XL-COR,HEE-019,Budapest,XL,CORDA,2,inventario
HEE-CALI-TU-CRE,HEE-020,Cali,TU,CREMA,1,inventario
HEE-CALI-TU-NER,HEE-020,Cali,TU,NERO,2,inventario
HEE-CALI-TU-CIO,HEE-020,Cali,TU,CIOCCOLATO,1,inventario
HEE-CALIFORN-S-BIA,HEE-021,California,S,BIANCO,1,inventario
HEE-CALIFORN-M-BIA,HEE-021,California,M,BIANCO,2,inventario
HEE-CALIFORN-L-BIA,HEE-021,California,L,BIANCO,5,inventario
HEE-CALIFORN-S-COR,HEE-021,California,S,CORDA T.F,5,inventario
HEE-CALIFORN-M-COR,HEE-021,California,M,CORDA T.F,4,inventario
HEE-CALIFORN-L-COR,HEE-021,California,L,CORDA T.F,4,inventario
HEE-CALIFORN-S-PIO,HEE-021,California,S,PIOMBO T.F,6,inventario
HEE-CALIFORN-M-PIO,HEE-021,California,M,PIOMBO T.F,3,inventario
HEE-CALIFORN-L-PIO,HEE-021,California,L,PIOMBO T.F,2,inventario
HEE-CAMBRIDG-M-GRI,HEE-022,Cambridge,M,GRIGIO T.F,0,inventario
HEE-CAMBRIDG-L-GRI,HEE-022,Cambridge,L,GRIGIO T.F,2,inventario
HEE-CAMBRIDG-XL-GRI,HEE-022,Cambridge,XL,GRIGIO T.F,0,inventario
HEE-CAMBRIDG-M-NER,HEE-022,Cambridge,M,NERO,3,inventario
HEE-CAMBRIDG-L-NER,HEE-022,Cambridge,L,NERO,5,inventario
HEE-CAMBRIDG-XL-NER,HEE-022,Cambridge,XL,NERO,3,inventario
HEE-CAMBRIDG-M-BIA,HEE-022,Cambridge,M,BIANCO,2,inventario
HEE-CAMBRIDG-L-BIA,HEE-022,Cambridge,L,BIANCO,7,inventario
HEE-CAMBRIDG-XL-BIA,HEE-022,Cambridge,XL,BIANCO,3,inventario
HEE-CAMBRIDG-M-CAM,HEE-022,Cambridge,M,CAMMELLO,2,inventario
HEE-CAMBRIDG-L-CAM,HEE-022,Cambridge,L,CAMMELLO,8,inventario
HEE-CAMBRIDG-XL-CAM,HEE-022,Cambridge,XL,CAMMELLO,4,inventario
HEE-CANADA-M-COR,HEE-023,Canada,M,CORDA,0,inventario
HEE-CANADA-L-COR,HEE-023,Canada,L,CORDA,1,inventario
HEE-CANADA-XL-COR,HEE-023,Canada,XL,CORDA,1,inventario
HEE-CANADA-M-NER,HEE-023,Canada,M,NERO,1,inventario
HEE-CANADA-L-NER,HEE-023,Canada,L,NERO,2,inventario
HEE-CANADA-XL-NER,HEE-023,Canada,XL,NERO,3,inventario
HEE-CANARIE-S-NER,HEE-024,Canarie,S,NERO,1,inventario
HEE-CANARIE-M-NER,HEE-024,Canarie,M,NERO,2,inventario
HEE-CANARIE-S-CIO,HEE-024,Canarie,S,CIOCCOLATO,0,inventario
HEE-CANARIE-M-CIO,HEE-024,Canarie,M,CIOCCOLATO,0,inventario
HEE-CANARIE-S-PIO,HEE-024,Canarie,S,PIOMBO,2,inventario
HEE-CANARIE-M-PIO,HEE-024,Canarie,M,PIOMBO,3,inventario
HEE-CAPRI-S-NER,HEE-025,Capri,S,NERO,0,catalogo
HEE-CAPRI-M-NER,HEE-025,Capri,M,NERO,0,catalogo
HEE-CAPRI-S-CRE,HEE-025,Capri,S,CREMA,0,catalogo
HEE-CAPRI-M-CRE,HEE-025,Capri,M,CREMA,0,catalogo
HEE-CEFALU-S-COR,HEE-026,Cefalù,S,CORDA,1,inventario
HEE-CEFALU-M-COR,HEE-026,Cefalù,M,CORDA,2,inventario
HEE-CEFALU-S-CRE,HEE-026,Cefalù,S,CREMA,3,inventario
HEE-CEFALU-M-CRE,HEE-026,Cefalù,M,CREMA,2,inventario
HEE-CEFALU-S-NER,HEE-026,Cefalù,S,NERO,1,inventario
HEE-CEFALU-M-NER,HEE-026,Cefalù,M,NERO,2,inventario
HEE-CIPRO-TU-NER,HEE-027,Cipro,TU,NERO,1,inventario
HEE-CIPRO-TU-CRE,HEE-027,Cipro,TU,CREMA,3,inventario
HEE-CIPRO-TU-CIO,HEE-027,Cipro,TU,CIOCCOLATO,1,inventario
HEE-CORTINA-S-NER,HEE-028,Cortina,S,NERO,0,inventario
HEE-CORTINA-M-NER,HEE-028,Cortina,M,NERO,2,inventario
HEE-CORTINA-L-NER,HEE-028,Cortina,L,NERO,0,inventario
HEE-CORTINA-XL-NER,HEE-028,Cortina,XL,NERO,2,inventario
HEE-CORTINA-S-BIA,HEE-028,Cortina,S,BIANCO,1,inventario
HEE-CORTINA-M-BIA,HEE-028,Cortina,M,BIANCO,1,inventario
HEE-CORTINA-L-BIA,HEE-028,Cortina,L,BIANCO,1,inventario
HEE-CORTINA-XL-BIA,HEE-028,Cortina,XL,BIANCO,1,inventario
HEE-CORTINA-S-CAM,HEE-028,Cortina,S,CAMMELLO,2,inventario
HEE-CORTINA-M-CAM,HEE-028,Cortina,M,CAMMELLO,1,inventario
HEE-CORTINA-L-CAM,HEE-028,Cortina,L,CAMMELLO,3,inventario
HEE-CORTINA-XL-CAM,HEE-028,Cortina,XL,CAMMELLO,2,inventario
HEE-COURMAYE-S-GRI,HEE-029,Courmayeur,S,GRIGIO,0,inventario
HEE-COURMAYE-M-GRI,HEE-029,Courmayeur,M,GRIGIO,0,inventario
HEE-COURMAYE-L-GRI,HEE-029,Courmayeur,L,GRIGIO,4,inventario
HEE-COURMAYE-XL-GRI,HEE-029,Courmayeur,XL,GRIGIO,0,inventario
HEE-DANIMARC-M-NER,HEE-030,Danimarca,M,NERO,0,inventario
HEE-DANIMARC-L-NER,HEE-030,Danimarca,L,NERO,3,inventario
HEE-DANIMARC-XL-NER,HEE-030,Danimarca,XL,NERO,1,inventario
HEE-DANIMARC-M-CIO,HEE-030,Danimarca,M,CIOCO   TF.,1,inventario
HEE-DANIMARC-L-CIO,HEE-030,Danimarca,L,CIOCO   TF.,0,inventario
HEE-DANIMARC-XL-CIO,HEE-030,Danimarca,XL,CIOCO   TF.,0,inventario
HEE-DANIMARC-M-GRI,HEE-030,Danimarca,M,GRIGIO T.F,4,inventario
HEE-DANIMARC-L-GRI,HEE-030,Danimarca,L,GRIGIO T.F,4,inventario
HEE-DANIMARC-XL-GRI,HEE-030,Danimarca,XL,GRIGIO T.F,0,inventario
HEE-DETROIT-M-GRI,HEE-032,Detroit,M,GRIGIO T.F,2,inventario
HEE-DETROIT-L-GRI,HEE-032,Detroit,L,GRIGIO T.F,2,inventario
HEE-DETROIT-XL-GRI,HEE-032,Detroit,XL,GRIGIO T.F,6,inventario
HEE-DETROIT-M-CAM,HEE-032,Detroit,M,CAMMELLO,0,inventario
HEE-DETROIT-L-CAM,HEE-032,Detroit,L,CAMMELLO,1,inventario
HEE-DETROIT-XL-CAM,HEE-032,Detroit,XL,CAMMELLO,0,inventario
HEE-DETROIT-M-NER,HEE-032,Detroit,M,NERO,1,inventario
HEE-DETROIT-L-NER,HEE-032,Detroit,L,NERO,1,inventario
HEE-DETROIT-XL-NER,HEE-032,Detroit,XL,NERO,0,inventario
HEE-DETROIT-M-BIA,HEE-032,Detroit,M,BIANCO,1,inventario
HEE-DETROIT-L-BIA,HEE-032,Detroit,L,BIANCO,1,inventario
HEE-DETROIT-XL-BIA,HEE-032,Detroit,XL,BIANCO,0,inventario
HEE-DUBAI-TU-BIA,HEE-033,Dubai,TU,BIANCO,1,inventario
HEE-DUBAI-TU-NER,HEE-033,Dubai,TU,NERO,1,inventario
HEE-DUBAI-TU-CIO,HEE-033,Dubai,TU,CIOCCOLATO,1,inventario
HEE-DUBLINO-L-GRI,HEE-034,Dublino,L,GRIGIO,4,inventario
HEE-DUBLINO-L-NER,HEE-034,Dublino,L,NERO/GRIGIO,4,inventario
HEE-DUBLINO-M-VER,HEE-034,Dublino,M,VERDE,1,inventario
HEE-DUBLINO-M-ROS,HEE-034,Dublino,M,ROSA/VERDE,1,inventario
HEE-FINLANDI-TU-CRE,HEE-035,Finlandia,TU,CREMA,3,inventario
HEE-FINLANDI-TU-ROS,HEE-035,Finlandia,TU,ROSA,5,inventario
HEE-FINLANDI-TU-PIO,HEE-035,Finlandia,TU,PIOMBO,2,inventario
HEE-FINLANDI-TU-GRI,HEE-035,Finlandia,TU,GRIGIO,4,inventario
HEE-FINLANDI-TU-NER,HEE-035,Finlandia,TU,NERO,1,inventario
HEE-FINLANDI-TU-VER,HEE-035,Finlandia,TU,VERDE,7,inventario
HEE-FORMENTE-S-NER,HEE-036,Formentera,S,NERO,2,inventario
HEE-FORMENTE-M-NER,HEE-036,Formentera,M,NERO,0,inventario
HEE-FORMENTE-L-NER,HEE-036,Formentera,L,NERO,0,inventario
HEE-FORMENTE-S-BIA,HEE-036,Formentera,S,BIANCO,1,inventario
HEE-FORMENTE-M-BIA,HEE-036,Formentera,M,BIANCO,1,inventario
HEE-FORMENTE-L-BIA,HEE-036,Formentera,L,BIANCO,0,inventario
HEE-FORMENTE-S-CRE,HEE-036,Formentera,S,CREMA,1,inventario
HEE-FORMENTE-M-CRE,HEE-036,Formentera,M,CREMA,3,inventario
HEE-FORMENTE-L-CRE,HEE-036,Formentera,L,CREMA,0,inventario
HEE-FORMENTE-S-COR,HEE-036,Formentera,S,CORDA,2,inventario
HEE-FORMENTE-M-COR,HEE-036,Formentera,M,CORDA,1,inventario
HEE-FORMENTE-L-COR,HEE-036,Formentera,L,CORDA,1,inventario
HEE-FORMENTE-S-AZZ,HEE-036,Formentera,S,AZZURRO,0,inventario
HEE-FORMENTE-M-AZZ,HEE-036,Formentera,M,AZZURRO,3,inventario
HEE-FORMENTE-L-AZZ,HEE-036,Formentera,L,AZZURRO,1,inventario
HEE-FORMENTE-S-SAL,HEE-036,Formentera,S,SALMONE,1,inventario
HEE-FORMENTE-M-SAL,HEE-036,Formentera,M,SALMONE,2,inventario
HEE-FORMENTE-L-SAL,HEE-036,Formentera,L,SALMONE,1,inventario
HEE-FRANCOFO-M-NER,HEE-037,Francoforte,M,NERO,0,inventario
HEE-FRANCOFO-L-NER,HEE-037,Francoforte,L,NERO,3,inventario
HEE-FRANCOFO-XL-NER,HEE-037,Francoforte,XL,NERO,3,inventario
HEE-FRANCOFO-M-GRI,HEE-037,Francoforte,M,GRIGIO TF.,3,inventario
HEE-FRANCOFO-L-GRI,HEE-037,Francoforte,L,GRIGIO TF.,4,inventario
HEE-FRANCOFO-XL-GRI,HEE-037,Francoforte,XL,GRIGIO TF.,0,inventario
HEE-FRANCOFO-M-CIO,HEE-037,Francoforte,M,CIOCO   TF.,3,inventario
HEE-FRANCOFO-L-CIO,HEE-037,Francoforte,L,CIOCO   TF.,2,inventario
HEE-FRANCOFO-XL-CIO,HEE-037,Francoforte,XL,CIOCO   TF.,0,inventario
HEE-GEORGIA-S-NER,HEE-038,Georgia,S,NERO,3,inventario
HEE-GEORGIA-M-NER,HEE-038,Georgia,M,NERO,3,inventario
HEE-GEORGIA-L-NER,HEE-038,Georgia,L,NERO,1,inventario
HEE-GEORGIA-S-COR,HEE-038,Georgia,S,CORDA,3,inventario
HEE-GEORGIA-M-COR,HEE-038,Georgia,M,CORDA,2,inventario
HEE-GEORGIA-L-COR,HEE-038,Georgia,L,CORDA,1,inventario
HEE-GINEVRA-XS-NER,HEE-039,Ginevra,XS,NERO,1,inventario
HEE-GINEVRA-S-NER,HEE-039,Ginevra,S,NERO,0,inventario
HEE-GINEVRA-M-NER,HEE-039,Ginevra,M,NERO,0,inventario
HEE-GINEVRA-L-NER,HEE-039,Ginevra,L,NERO,0,inventario
HEE-GINEVRA-XS-PIO,HEE-039,Ginevra,XS,PIOMBO,2,inventario
HEE-GINEVRA-S-PIO,HEE-039,Ginevra,S,PIOMBO,1,inventario
HEE-GINEVRA-M-PIO,HEE-039,Ginevra,M,PIOMBO,0,inventario
HEE-GINEVRA-L-PIO,HEE-039,Ginevra,L,PIOMBO,2,inventario
HEE-GINEVRA-XS-CIO,HEE-039,Ginevra,XS,CIOCCOLATO,2,inventario
HEE-GINEVRA-S-CIO,HEE-039,Ginevra,S,CIOCCOLATO,2,inventario
HEE-GINEVRA-M-CIO,HEE-039,Ginevra,M,CIOCCOLATO,1,inventario
HEE-GINEVRA-L-CIO,HEE-039,Ginevra,L,CIOCCOLATO,1,inventario
HEE-HELSINKI-S-NER,HEE-040,Helsinki,S,NERO,3,inventario
HEE-HELSINKI-M-NER,HEE-040,Helsinki,M,NERO,3,inventario
HEE-HELSINKI-L-NER,HEE-040,Helsinki,L,NERO,2,inventario
HEE-HELSINKI-S-CRE,HEE-040,Helsinki,S,CREMA,2,inventario
HEE-HELSINKI-M-CRE,HEE-040,Helsinki,M,CREMA,0,inventario
HEE-HELSINKI-L-CRE,HEE-040,Helsinki,L,CREMA,1,inventario
HEE-HELSINKI-S-COR,HEE-040,Helsinki,S,CORDA,2,inventario
HEE-HELSINKI-M-COR,HEE-040,Helsinki,M,CORDA,2,inventario
HEE-HELSINKI-L-COR,HEE-040,Helsinki,L,CORDA,2,inventario
HEE-IBIZA-S-NER,HEE-041,Ibiza,S,NERO,3,inventario
HEE-IBIZA-M-NER,HEE-041,Ibiza,M,NERO,2,inventario
HEE-IBIZA-L-NER,HEE-041,Ibiza,L,NERO,3,inventario
HEE-IBIZA-S-CRE,HEE-041,Ibiza,S,CREMA,0,inventario
HEE-IBIZA-M-CRE,HEE-041,Ibiza,M,CREMA,2,inventario
HEE-IBIZA-L-CRE,HEE-041,Ibiza,L,CREMA,2,inventario
HEE-IBIZA-S-SAL,HEE-041,Ibiza,S,SALMONE,2,inventario
HEE-IBIZA-M-SAL,HEE-041,Ibiza,M,SALMONE,2,inventario
HEE-IBIZA-L-SAL,HEE-041,Ibiza,L,SALMONE,1,inventario
HEE-IBIZA-S-AZZ,HEE-041,Ibiza,S,AZZURRO,0,inventario
HEE-IBIZA-M-AZZ,HEE-041,Ibiza,M,AZZURRO,2,inventario
HEE-IBIZA-L-AZZ,HEE-041,Ibiza,L,AZZURRO,2,inventario
HEE-IMPERIA-S-NER,HEE-042,Imperia,S,NERO,0,inventario
